Company,latitude,longitude
HOUSTON REFINING LP,29.701556,-95.251761
EQUISTAR CHEMICALS LP,29.82338,-95.113566
ALON USA ENERGY INC,32.270992,-101.415073
LAZARUS ENERGY LLC,29.261622,-97.787248
CALUMET LUBRICANTS CO,29.347637,-98.459995
DEER PARK REFINING LTD PARTNERSHIP,29.731441,-95.126797
DELEK REFINING LTD,32.360432,-95.281964
EXXONMOBIL REFINING & SUPPLY CO,29.761431,-94.976798
EXXONMOBIL REFINING & SUPPLY CO,30.111321,-94.106796
KINDER MORGAN CRUDE & CONDENSATE,29.733018,-95.219682
Flint Hills Resources LP,27.832974,-97.525965
MARATHON PETROLEUM CO LP,29.374692,-94.933456
Motiva Enterprises LLC,29.860001,-93.969224
CITGO REFINING & CHEMICAL INC,27.809474,-97.428434
PASADENA REFINING SYSTEMS INC,29.721442,-95.206799
PETROMAX REFINING CO LLC,29.75377,-95.123221
PHILLIPS 66 COMPANY,29.077881,-95.747538
SOUTH HAMPTON RESOURCES INC,30.398348,-94.228208
TOTAL PETROCHEMICALS & REFINING USA,29.998606,-93.984414
VALERO REFINING CO TEXAS LP,27.816758,-97.484505
VALERO ENERGY CORPORATION,35.95563,-101.880991
VALERO ENERGY CORPORATION,28.45921,-98.188265
PREMCOR REFINING GROUP INC,29.958382,-93.889234
WESTERN REFINING COMPANY LP,31.767512,-106.395613
WRB REFINING LP,35.693187,-101.365597
